# Total Pointers Found: 6648
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 4
# Data xref hits: 6648
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
11292 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11295 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11298 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
1129C | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
112AF | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
112B5 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
112BB | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
112C1 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
112C7 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
112CA | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
112CE | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
112E1 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
112E7 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
112ED | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
112F3 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
112F9 | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
112FC | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11300 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
11313 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11319 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
1131F | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11325 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
1132B | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
1132E | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11332 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
11345 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
1134B | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
11351 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11357 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
1135D | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11360 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11364 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
11377 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
1137D | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
11383 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11389 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
1138F | seg000 | 27B48 | word_27B48 | data_pointer | data_item_size=2
11392 | seg000 | 27B4A | word_27B4A | data_pointer | data_item_size=2
11396 | seg000 | 27B4C | word_27B4C | data_pointer | data_item_size=2
113AE | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
113B8 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
113BD | seg000 | 102A5 | aGeocentricLati | string_pointer | "Geocentric latitude  (Deg  Min) ?"
113CF | seg000 | 2F50A | unk_2F50A | unknown_pointer | 
113D9 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
113E1 | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
113E9 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
113F3 | seg000 | 2F60A | unk_2F60A | unknown_pointer | 
113F8 | seg000 | 102CA | aGeocentricLong | string_pointer | "Geocentric longitude (Deg  Min) ?"
1140A | seg000 | 2F50A | unk_2F50A | unknown_pointer | 
11414 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
1141C | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11429 | seg000 | 27940 | word_27940 | data_pointer | data_item_size=2
11442 | seg000 | 2793E | word_2793E | data_pointer | data_item_size=2
11453 | seg000 | 27C04 | word_27C04 | data_pointer | data_item_size=2
11456 | seg000 | 27C06 | word_27C06 | data_pointer | data_item_size=2
1145A | seg000 | 27C08 | word_27C08 | data_pointer | data_item_size=2
1145E | seg000 | 2793C | word_2793C | data_pointer | data_item_size=2
11477 | seg000 | 2793A | word_2793A | data_pointer | data_item_size=2
11488 | seg000 | 27C0A | word_27C0A | data_pointer | data_item_size=2
